Product SKU	Product Name	Product Description	Model	Category	Type
24339497	Brother TN-223 Black Standard Yield Toner Cartridge	Brother TN-223 Black Standard Yield Toner Cartridge, Print Up to 1,400 Pages (TN223BK)	TN223BK	Office Supplies	Business
24339498	Brother TN-227 Black High Yield Toner Cartridge	Brother TN-227 Black High Yield Toner Cartridge, Print Up to 3,000 Pages (TN227BK)	TN227BK	Office Supplies	Business
24364269	Handwriting: Cursive for Elementary	Handwriting: Cursive for Elementary	405023MCM	Office Supplies	Personal
24376608	TRU RED™ Pen Permanent Markers, Fine Tip, Red, 12/Pack (TR54539)	TRU RED™ Permanent Marker, Fine Tip, Red, 12/Pack (TR54539)	TR54539	Office Supplies	Business
24386254	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Red (ST55473-CC)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Red (ST55473-CC)	ST55473-CC	Office Supplies	Business
24386258	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Yellow (55475)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Yellow (55475)	ST55475-CC	Office Supplies	Business
24386262	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Teal (55478)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Teal (55478)	55478	Office Supplies	Business
24386263	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Blue (ST55477-CC)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Blue (ST55477-CC)	ST55477-CC	Office Supplies	Business
24386293	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Orange	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Orange (ST55474-CC)	ST55474-CC	Office Supplies	Business
24386294	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Green (ST55476-CC)	Staples Matte 2-Pocket Plastic Portfolio Folder with Fasteners, Green (ST55476-CC)	ST55476-CC	Office Supplies	Business
24387349	Staples 3-Hole Punched 4-Pocket Paper Presentation Folder, Teal	Staples 3-Hole Punched 4-Pocket Paper Presentation Folder, Teal (ST56215-CC)	ST56215-CC	Office Supplies	Business
24387496	Newell Sistema To Go Salad Container, 37 oz.	Newell Sistema To Go Salad Container, Clear, 37 oz. (21356ZS)	21356ZS	Inventory	Personal
24388008	Dap Kwik Seal Ultra Premium Siliconized Kitchen & Bath Sealant, 10.1 oz., Clear (7079818898)	Dap Kwik Seal Ultra Premium Siliconized Kitchen & Bath Sealant, 10.1 oz., Clear (7079818898)	7079818898	Inventory	Business
