Product SKU	Product Name	Product Description	Model	Category	Type	Subcategory
319324	"Cadbury Adams Sour Patch Watermelon, 3.5 oz"	"Cadbury Adams Sour Patch Watermelon, 3.5 oz. Theater Box, 12 Packs/Order"	SPW12	Office Supplies	Personal	Candy
24592780	"Skittles Gummies Original, 5.8 oz"	"Skittles Gummies Original, 5.8 oz"		Office Supplies	Personal	Candy
319320	"Sour Patch Kids Assorted Gummy Candy, 3.5 oz"	"Sour Patch Kids Assorted Gummy Candy, 3.5 oz, 12/Box (SPK12)"	SPK12	Office Supplies	Personal	Candy
24612191	"Sour Patch Kids Bulk, 5 lbs"	"Sour Patch Kids Bulk, 5 lbs"		Office Supplies	Personal	Candy
24573914	"j5create 100W USB Type-C Charger, Black (JUP2290C)"	"j5create 100W USB Type-C Charger, Black (JUP2290C)"	JUP2290C	Office Supplies	Business	Chargers
24573908	j5create 65W USB-C 2-Port GaN PD Charger	"j5create 65W USB-C 2-Port GaN PD Charger, White (JUP2465)"	JUP2465	Office Supplies	Business	Chargers
712654	BioTuf 6064 Gallon Compostable Industri	"BioTuf 60-64 Gallon Compostable Industrial Trash Bag, 47"" x 60"", Low Density, 1 Mil, Green, 5 Rolls (Y9460YE R01)"	Y9460YE R01	Office Supplies	Business	Cleaning Supplies
24552240	"Cascade Original ActionPacs Dishwashing Detergent, 105 Pods/Box"	"Cascade Original ActionPacs Dishwashing Detergent, Fresh Scent, 105 Pods/Box (3700028028)"	3700028028	Office Supplies	Personal	Cleaning Supplies
24561375	"Cascade Platinum Plus ActionPacs Dishwashing Detergent Pods, 47 Pods/Box"	"Cascade Platinum Plus ActionPacs Dishwashing Detergent Pods, Fresh Scent, 47 Pods/Box (57893/6156)"	57893/6156	Office Supplies	Personal	Cleaning Supplies
24421012	"Clorox Bathroom Disinfecting Cleaner, 30 fl. oz."	"Clorox Bathroom Disinfecting Cleaner, Original Scent, 30 fl. oz. (08033)"	8033	Office Supplies	Business	Cleaning Supplies
369657	"Clorox Disinfecting Wipes Value Pack, 3/Pack"	"Clorox Disinfecting Wipes Value Pack, Fresh Scent and Crisp Lemon Scent, 35 Wipes/Container, 3/Pack (CLO 30112)"	CLO 30112	Office Supplies	Business	Cleaning Supplies
24562505	"Dawn Platinum Dish Soap, Refreshing Rain, 54.8 fl. oz., 2/Pack (04504)"	"Dawn Platinum Liquid Dish Soap, Refreshing Rain, 54.8 oz., 2/Pack (04504)"	4504	Office Supplies	Personal	Cleaning Supplies
482898	"Glad 13 Gallon Trash Bag, 8.5""x8.5"", Low Density, .72 mil, White, 100 Bags/Box (CLO 78526)"	"Glad 13 Gallon Trash Bag, 8.5""x8.5"", Low Density, .72 mil, White, 100 Bags/Box (CLO 78526)"	CLO 78526	Office Supplies	Business	Cleaning Supplies
1668032	"Lysol Mold & Mildew Remover, 1 Quart, Trigger Spray Bottle (1920078915)"	"Lysol Mold & Mildew Remover, 1 Quart, Trigger Spray Bottle (1920078915)"	1920078915	Office Supplies	Business	Cleaning Supplies
24488838	"Scotch-Brite Soap Control Non-Scratch Dishwand, Blue (451U-4)"	"Scotch-Brite Soap Control Non-Scratch Dishwand, Blue (451U-4)"	451U-4	Office Supplies	Personal	Cleaning Supplies
24547868	"Scrubbing bubbles Bubbly Bleach Gel Disinfecting Toilet Bowl Cleaner, Rainshower Scent, 24 Oz. (309106)"	"Scrubbing bubbles Bubbly Bleach Gel Disinfecting Toilet Bowl Cleaner, Rainshower Scent, 24 Oz. (309106)"		Office Supplies	Personal	Cleaning Supplies
24608319	"Dunkin' Original Blend Coffee, Ground, 12 oz"	"Dunkin' Original Blend Coffee, Ground, 12 oz"		Office Supplies	Business	Coffee & Tea
784551	"Logitech M325S Wireless Ambidextrous Optical USB Mouse, Black (910-006825)"	"Logitech M325S Wireless Ambidextrous Optical USB Mouse, Black (910-006825)"	910-007523	Office Supplies	Business	Computer Accessories
24516904	"Logitech Signature M650 L Wireless Ergonomic Optical Mouse, Classic Red"	"Logitech Signature M650 L Wireless Ergonomic Optical Mouse, Classic Red (910-006358)"	910-006358	Office Supplies	Business	Computer Accessories
24566070	Altec Lansing Kid-Safe ANC Wired/Wireless Headphones	"Altec Lansing Kid-Safe ANC Wired/Wireless Active Noise Canceling On-Ear, Bluetooth, Blackout Electric Purple (MZX4500-BOPUR)"	MZX4500-BOPUR	Office Supplies	Business	Electronics
24489891	Apple AirTag	Apple AirTag Bluetooth Tracker (MX532AM/A)	MX532AM/A	Office Supplies	Personal	Electronics
24489892	"Apple AirTag, 4/Pack"	"Apple AirTag Tracker, 4/Pack (MX542AM/A)"	MX542AM/A	Office Supplies	Personal	Electronics
24591315	Bose QuietComfort Wireless Noise Cancelling Headphones	"Bose QuietComfort Bluetooth Wireless Active Noise Cancelling Over-the-Ear Headphones, Black (884367-0100)"	884367-0100	Office Supplies	Business	Electronics
24580006	Bose QuietComfort Wireless Noise Canceling Earbuds	"Bose QuietComfort Wireless Noise Canceling Earbuds, Black (882826-0010)"	882826-0010	Office Supplies	Business	Electronics
24484507	Ring Quick-Release Replacement Battery for Ring Video Doorbell 2 (8AB1S7-0EN0)	Ring Quick-Release Replacement Battery for Ring Video Doorbell 2 (8AB1S7-0EN0)	5892396	Office Supplies	Personal	Electronics
300053	"Mead Security Tinted #10 Business Envelopes, 40/Pack"	"Mead Security Tinted #10 Business Envelopes, 4-1/8"" x 9-1/2"", White, 40/Pack (75214)"	75214	Office Supplies	Business	Envelopes
901988	"Staples #10 1/2 Kraft Catalog Envelope, 10/Pack"	"Staples #10 1/2 Kraft Catalog Envelope, 9"" x 12"", Kraft, 10/Pack (SPL901988)"	SPL901988	Office Supplies	Business	Envelopes
485999	"Fellowes Standard Footrest, Graphite"	"Fellowes Standard Footrest, Graphite (48121)"	48121	Office Supplies	Business	Ergonomics
24523425	Command Adjustables Spring Clips	Command Adjustables Spring Clips		School Supplies	Personal	Fasteners
134708	"Glad Zipper Sandwich Bags, 50 Bags/Box (57263)"	"Glad Zipper Sandwich Bags, 50 Bags/Box (57263)"	57263	Office Supplies	Personal	Food Storage
24387496	"Newell Sistema To Go Salad Container, 37 oz."	"Newell Sistema To Go Salad Container, Clear, 37 oz. (21356ZS)"	21356ZS	Office Supplies	Personal	Food Storage
777587	"Staples Personal Folding Table, 25.5""L x 17.8""W, Gray (79143)"	"Staples® 25.5"" x 17.8"" Heavy Duty Folding Table, White Granite (79143)"	79143	Office Supplies	Business	Furniture
24592784	"Extra Peppermint Sugar-Free Gum, 15 sticks"	"Extra Peppermint Sugar-Free Gum, 15 sticks"		Office Supplies	Personal	Gum
24592783	"Extra Polar Ice Sugar-Free Gum, 15 sticks"	"Extra Polar Ice Sugar-Free Gum, 15 sticks"		Office Supplies	Personal	Gum
24388008	"Dap Kwik Seal Ultra Premium Siliconized Kitchen & Bath Sealant, 10.1 oz., Clear (7079818898)"	"Dap Kwik Seal Ultra Premium Siliconized Kitchen & Bath Sealant, 10.1 oz., Clear (7079818898)"	7079818898	Office Supplies	Business	Home Improvement
952621	Brother LC103 Black High Yield Ink Cartridge (LC103BKS)	Brother LC103 Black High Yield Ink Cartridge (LC103BKS)	LC103BKS	Office Supplies	Business	Ink & Toner
24595414	"Original HP 218X Black High-yield Toner Cartridge, print up to 3,200 pages (W2180X)"	"HP 218X Black High Yield Toner Cartridge, Prints Up to 3200 Pages (W2180X)"	W2180X	Office Supplies	Business	Ink & Toner
1990399	HP 65 Black Standard Yield Ink Cartridge (N9K02AN#140)	"HP 65 Black Standard Yield Ink Cartridge, Prints Up to 120 Pages (N9K02AN#140)"	N9K02AN#140	Inventory	Business	Ink & Toner
24418465	"Coastwide Professional™ 20"" Toilet Plunger, Black (CW60568)"	"Coastwide Professional™ 20"" Toilet Plunger, Black (CW60568)"	CW60568-CC	Office Supplies	Business	Janitorial
24420005	"Coastwide Professional™ 36"" Lobby Broom, Gray (CW61069-CC)"	"Coastwide Professional™ 36"" Lobby Broom, Gray (CW61069-CC)"	CW61069-CC	Office Supplies	Business	Janitorial
24405521	"Coastwide Professional™ J-Series Duo Bath Tissue Dispenser, Black/Metallic (CWJ2BT-S)"	"Coastwide Professional™ J-Series Duo Bath Tissue Dispenser, Black/Metallic (CWJ2BT-S)"	CWJ2BT-S-CC	Office Supplies	Business	Janitorial
2244739	Brother P-Touch PTM95 Portable Label Maker	Brother P-Touch PTM95 Portable Label Maker	PTM95	Inventory	Business	Label Makers
166769	"Avery Color-Coding Labels, Dark Blue"	"Avery Laser/Inkjet Color-Coding Labels, 3/4"" Dia, Dark Blue, 1,008 Labels/Pack (5469)"	13955/5469	School Supplies	Personal	Labels
2837194	"Smead ETYJ Color Coding Labels, Light Blue"	"Smead ETYJ Color Coding Labels, 3/4"" x 1 1/2"", Light Blue with White Numerals, 500/Roll (68318)"	68318	School Supplies	Personal	Labels
24416458	"Baseline Permanent Markers, Fine Tip, Blue, 12/Pack (BL58129)"	"Baseline Permanent Markers, Fine Tip, Blue, 12/Pack (BL58129)"		Office Supplies	Business	Markers
33172	Expo Low Odor Fine Tip Dry Erase Marker	"Expo Low Odor Fine Tip Dry Erase Marker, Black"		Office Supplies	Business	Markers
483636	Expo Tank Dry Erase Marker Starter Set	"Expo Tank Dry Erase Marker, Chisel Tip, Assorted Colors, Starter Set/Kit (80653)"	80653	Office Supplies	Business	Markers
24376608	"TRU RED™ Pen Permanent Markers, Fine Tip, Red, 12/Pack (TR54539)"	"TRU RED™ Permanent Marker, Fine Tip, Red, 12/Pack (TR54539)"	TR54539	Office Supplies	Business	Markers
2400385	Staples Plus Membership	Staples Plus Membership	CLUBMEM.COM	Office Supplies	Business	Memberships
24645505	"Post-it Super Sticky Notes, Assorted Bright Colors, 8 Pads/Pack"	"Post-it Super Sticky Notes, 3"" x 3"", Assorted Bright Colors, 70 Sheets/Pad, 8 Pads/Pack (654-8SSAP)"	654-8SSAP	Office Supplies	Personal	Notes
122408	"Hammermill Copy Plus Paper, 500 Sheets"	"Hammermill Copy Plus 8.5"" x 11"" Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream (105007)"	105007/27062	Office Supplies	Business	Paper
122374	"Hammermill Copy Plus Paper, 5000 Sheets"	"Hammermill Copy Plus 8.5"" x 11"" Copy Paper, 20 lbs., 92 Brightness, 5000 Sheets/Carton (105007)"	105007CT/27061	Office Supplies	Business	Paper
24579067	"TRU RED™ 8.5"" x 11"" Copy Paper, 20 lbs., 92 Brightness, 600 Sheets/Ream, 6 Reams/Carton (TR62091)"	"TRU RED™ 8.5"" x 11"" Copy Paper, 20 lbs., 92 Brightness, 600 Sheets/Ream, 6 Reams/Carton (TR62091)"	TR62091	Office Supplies	Business	Paper
2847075	"Bounty Select-A-Size Double Roll Paper Towels, 12 Rolls/Pack"	"Bounty Select-A-Size Double Roll Paper Towels, 2-ply, 82 Sheets/Roll, 12 Rolls/Pack (66541/06130)"	57053/61305	Office Supplies	Personal	Paper Goods
102400	"Charmin Ultra Strong Mega Toilet Paper, 18 Rolls"	"Charmin Ultra Strong Mega Toilet Paper, 2-ply, White, 220 Sheets/Roll, 18 Rolls/Case (11055/15704)"	11055/15704	Office Supplies	Personal	Paper Goods
24405972	"Coastwide Professional™ J-Series 1-Ply Small Core Bath Tissue, White, 3000 Sheets/Roll, 18 Rolls/Carton (CWJBT-3000)"	"Coastwide Professional™ J-Series 1-Ply Small Core Bath Tissue, White, 3000 Sheets/Roll, 18 Rolls/Carton (CWJBT-3000)"		Office Supplies	Business	Paper Goods
24525832	"Kleenex Antiviral Facial Tissue, 4 Boxes/Pack"	"Kleenex Antiviral Facial Tissue, 3-ply, 55 Tissues/Box, 4 Boxes/Pack (54506)"	54506	Office Supplies	Personal	Paper Goods
24452173	"Puffs Ultra Soft Facial Tissues, 3 Boxes/Pack"	"Puffs Ultra Soft Facial Tissues, 124 Tissues/Box, 3 Boxes/Pack (35520)"	35520	Office Supplies	Personal	Paper Goods
390664	"Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 12 Rolls/Case (10060)"	"Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 12 Rolls/Case (10060)"	10060	Office Supplies	Business	Paper Goods
812375	"Scott Essential Recycled Coreless Toilet Paper, 2-Ply, White, 1000 Sheets/Roll, 36 Rolls/Case (04007)"	"Scott Essential Recycled Coreless Toilet Paper, 2-Ply, White, 1000 Sheets/Roll, 36 Rolls/Case (04007)"	4007	Office Supplies	Business	Paper Goods
24479671	"Scott 1-Ply Standard Toilet Paper, White, 1000 Sheets/Roll, 32 Rolls/Case (49209)"	"Scott Toilet Paper, 1-ply, White, 32,000 Sheets/Roll, 32 Rolls/Case (49209)"	49209/54350	Office Supplies	Business	Paper Goods
24417303	"Baseline Retractable Ballpoint Pens, Medium Point, Black Ink, Dozen (BL58253)"	"Baseline Retractable Ballpoint Pens, Medium Point, Black Ink, Dozen (BL58253)"		Office Supplies	Business	Pens
24580119	2025 At-A-Glance Abstract Weekly/Monthly Planner	"2025 At-A-Glance 8.5"" x 11"" Weekly/Monthly Planner, Abstract, (AYC52045)"	AYC52045	Office Supplies	Personal	Planners
24592836	HP LaserJet Pro MFP 3301fdw Wireless Color All-In-One Laser Printer	"HP LaserJet Pro MFP 3301fdw Wireless Color All-In-One Laser Printer, Print, Scan, Copy, Fax, Best for Office (499Q5F)"	499Q5F#BGJ	Office Supplies	Business	Printers
24392195	"Westcott 8"" Titanium Multi-Purpose/Heavy Duty Scissor"	"Westcott 8"" Titanium Multi-Purpose/Heavy Duty Scissor, Blunt Tip, Navy (17509)"	17509	Office Supplies	Business	Scissors
2724231	Honeywell Fire & Waterproof Safe Chest with Carry Handle (1533)	Honeywell Fire & Waterproof Safe Chest with Carry Handle (1533)	1533	Office Supplies	Business	Security
1989257	"12"" x 9"" x 9"" Shipping Boxes"	"12"" x 9"" x 9"" Shipping Boxes (ST55968)"	ST55968	Office Supplies	Business	Shipping Supplies
742293	"16"" x 12"" x 10"" Shipping Box"	"16"" x 12"" x 10"" Shipping Box, 32 ECT, Brown (10023)"	ST55961	Office Supplies	Business	Shipping Supplies
742295	"24"" x 10"" x 16"" Shipping Boxes"	"24"" x 10"" x 16"" Shipping Boxes (ST55963)"	ST55963	Office Supplies	Business	Shipping Supplies
304155	"24"" x 20"" x 20"" Heavy Duty Shipping Boxes"	"24"" x 20"" x 20"" Heavy Duty Shipping Boxes (ST55958)"	ST55958	Office Supplies	Business	Shipping Supplies
1669041	6.75 x 9 Self-Sealing Bubble Mailer	6.75 x 9 Self-Sealing Bubble Mailer (56563)	ST56563	Office Supplies	Business	Shipping Supplies
24428041	"Staples 3/16"" Bubble Roll, 12"" x 200'"	"Staples 3/16"" Bubble Roll, 12"" x 200', Clear (ST59156)"	ST59156	Office Supplies	Business	Shipping Supplies
